API_Name,sYear,ProductSaleGroup,Vet,AmountSold_g,InChIKey_string,PEC_gL,Desc_Short,Desc_Long,B_Statement,P_Statement,PNEC_gL,RQ
dinoprost,2016,Prescription,Vet,8.5,PXGPLTODNUVGFL-YNNPMVKQSA-N,2.4406482577037636e-12,sex hormone,"prostaglandin for labour and abortion induction in humans, uterine infections in animals",NA,NA,NA,NA
dinoprostone,2016,Prescription,Human,0.1915,XEYBRNLFEZDVAW-ARSRFYASSA-N,5.498636957062009e-14,sex hormone,prostaglandin for cervix relaxation in induced labour,NA,NA,NA,NA
dinoprostone,2017,Prescription,Human,0.117,XEYBRNLFEZDVAW-ARSRFYASSA-N,3.4055965884255945e-14,sex hormone,prostaglandin for cervix relaxation in induced labour,NA,NA,NA,NA
dipyridamole,2016,Prescription,Human,2103356.67,IZEKFCXSFNUWAM-UHFFFAOYSA-N,6.039475049370695e-7,antithrombotic,platelet aggregation inhibitor for blood clot prevention after heart valve replacement,low,high,2.4e-6,0.25164479372377896
dipyridamole,2017,Prescription,Human,2164230.735,IZEKFCXSFNUWAM-UHFFFAOYSA-N,6.299569921095569e-7,antithrombotic,platelet aggregation inhibitor for blood clot prevention after heart valve replacement,low,high,2.4e-6,0.2624820800456487
dipyridamole,2018,Prescription,Human,1924232.88,IZEKFCXSFNUWAM-UHFFFAOYSA-N,5.469865496168396e-7,antithrombotic,platelet aggregation inhibitor for blood clot prevention after heart valve replacement,low,high,2.4e-6,0.22791106234034986
dipyridamole,2019,Prescription,Human,1605438.675,IZEKFCXSFNUWAM-UHFFFAOYSA-N,4.637664823919294e-7,antithrombotic,platelet aggregation inhibitor for blood clot prevention after heart valve replacement,low,high,2.4e-6,0.1932360343299706
disopyramide,2016,Prescription,Human,15559,UVTNFZQICZKOEM-UHFFFAOYSA-N,4.467534851954454e-9,cardiac,antiarrhythmic for irregular heartbeat,low,NA,NA,NA
disopyramide,2017,Prescription,Human,15085.5,UVTNFZQICZKOEM-UHFFFAOYSA-N,4.391036524332846e-9,cardiac,antiarrhythmic for irregular heartbeat,low,NA,NA,NA
disopyramide,2018,Prescription,Human,13962.25,UVTNFZQICZKOEM-UHFFFAOYSA-N,3.968939015524835e-9,cardiac,antiarrhythmic for irregular heartbeat,low,NA,NA,NA
disopyramide,2019,Prescription,Human,14100,UVTNFZQICZKOEM-UHFFFAOYSA-N,4.07309696941629e-9,cardiac,antiarrhythmic for irregular heartbeat,low,NA,NA,NA
disulfiram,2016,Prescription,Human,149374,AUZONCFQVSMFAP-UHFFFAOYSA-N,4.289051680544024e-8,other nervous system,alcohol metabolism inhibitor for chronic alcoholism,NA,NA,NA,NA
disulfiram,2017,Prescription,Human,143818,AUZONCFQVSMFAP-UHFFFAOYSA-N,4.1862058987537786e-8,other nervous system,alcohol metabolism inhibitor for chronic alcoholism,NA,NA,NA,NA
disulfiram,2018,Prescription,Human,132497.8,AUZONCFQVSMFAP-UHFFFAOYSA-N,3.7664107711236126e-8,other nervous system,alcohol metabolism inhibitor for chronic alcoholism,NA,NA,NA,NA
disulfiram,2019,Prescription,Human,104326,AUZONCFQVSMFAP-UHFFFAOYSA-N,3.0136873363923685e-8,other nervous system,alcohol metabolism inhibitor for chronic alcoholism,NA,NA,NA,NA
dobutamine,2016,Prescription,Human,1156.25,JRWZLRBJNMZMFE-UHFFFAOYSA-N,3.3199994681999727e-10,cardiac,heart muscle stimulator for weakened heart muscles,NA,NA,NA,NA
dobutamine,2017,Prescription,Human,1098.75,JRWZLRBJNMZMFE-UHFFFAOYSA-N,3.19820448848942e-10,cardiac,heart muscle stimulator for weakened heart muscles,NA,NA,NA,NA
dobutamine,2018,Prescription,Human,1325,JRWZLRBJNMZMFE-UHFFFAOYSA-N,3.7664733087936447e-10,cardiac,heart muscle stimulator for weakened heart muscles,NA,NA,NA,NA
dobutamine,2019,Prescription,Human,1527.5,JRWZLRBJNMZMFE-UHFFFAOYSA-N,4.412521716867648e-10,cardiac,heart muscle stimulator for weakened heart muscles,NA,NA,NA,NA
docetaxel,2016,Prescription,Human,898.46,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,2.5797939219017925e-10,antineoplastic,"mitotic inhibitor for breast, lung, prostate, stomach, and head cancer",NA,NA,NA,NA
docetaxel,2017,Prescription,Human,908.76,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,2.645187996322772e-10,antineoplastic,"mitotic inhibitor for breast, lung, prostate, stomach, and head cancer",NA,NA,NA,NA
docetaxel,2018,Prescription,Human,867.26,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,2.4652918051202836e-10,antineoplastic,"mitotic inhibitor for breast, lung, prostate, stomach, and head cancer",NA,NA,NA,NA
docetaxel,2019,Prescription,Human,995.14,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,2.8746820696063313e-10,antineoplastic,"mitotic inhibitor for breast, lung, prostate, stomach, and head cancer",NA,NA,NA,NA
docusate sodium,2016,OTC,Human,30162.96,APSBXTVYXVQYAB-UHFFFAOYSA-M,8.660844208375097e-9,laxative,laxative and stool softener for constipation,NA,NA,NA,NA
docusate sodium,2017,OTC,Human,28812.120000000003,APSBXTVYXVQYAB-UHFFFAOYSA-M,8.386534835667422e-9,laxative,laxative and stool softener for constipation,NA,NA,NA,NA
docusate sodium,2018,OTC,Human,29620.08,APSBXTVYXVQYAB-UHFFFAOYSA-M,8.419867224477923e-9,laxative,laxative and stool softener for constipation,NA,NA,NA,NA
docusate sodium,2019,OTC,Human,28856.28,APSBXTVYXVQYAB-UHFFFAOYSA-M,8.335774937349496e-9,laxative,laxative and stool softener for constipation,NA,NA,NA,NA
dolutegravir,2016,Prescription,Human,17530.5,RHWKPHLQXYSBKR-BMIGLBTASA-N,5.033621680197156e-9,antiviral,antiviral used in combination for treatment of HIV,low,high,9.5e-6,5.298549137049638e-4
dolutegravir,2017,Prescription,Human,21798,RHWKPHLQXYSBKR-BMIGLBTASA-N,6.344888413205222e-9,antiviral,antiviral used in combination for treatment of HIV,low,high,9.5e-6,6.678829908637076e-4
dolutegravir,2018,Prescription,Human,23759.85,RHWKPHLQXYSBKR-BMIGLBTASA-N,6.754025724221938e-9,antiviral,antiviral used in combination for treatment of HIV,low,high,9.5e-6,7.109500762338881e-4
dolutegravir,2019,Prescription,Human,25429.35,RHWKPHLQXYSBKR-BMIGLBTASA-N,7.345830384342279e-9,antiviral,antiviral used in combination for treatment of HIV,low,high,9.5e-6,7.732453036149767e-4
donepezil,2016,Prescription,Human,20993.0096,ADEBPBSSDYVVLD-UHFFFAOYSA-N,6.027829682846869e-9,other nervous system,cholinesterase inhibitor for Alzheimer's disease,NA,NA,NA,NA
donepezil,2017,Prescription,Human,21579.606,ADEBPBSSDYVVLD-UHFFFAOYSA-N,6.2813190233477345e-9,other nervous system,cholinesterase inhibitor for Alzheimer's disease,NA,NA,NA,NA
donepezil,2018,Prescription,Human,21094.7276,ADEBPBSSDYVVLD-UHFFFAOYSA-N,5.99643233673001e-9,other nervous system,cholinesterase inhibitor for Alzheimer's disease,NA,NA,NA,NA
donepezil,2019,Prescription,Human,21592.6614,ADEBPBSSDYVVLD-UHFFFAOYSA-N,6.2375179936150445e-9,other nervous system,cholinesterase inhibitor for Alzheimer's disease,NA,NA,NA,NA
dopamine,2016,Prescription,Human,1146,VYFYYTLLBUKUHU-UHFFFAOYSA-N,3.2905681215629567e-10,cardiac,ubiquitous neuromodulator used medically for shock-associated conditions,NA,NA,NA,NA
dopamine,2017,Prescription,Human,522,VYFYYTLLBUKUHU-UHFFFAOYSA-N,1.5194200163744958e-10,cardiac,ubiquitous neuromodulator used medically for shock-associated conditions,NA,NA,NA,NA
dopamine,2018,Prescription,Human,784,VYFYYTLLBUKUHU-UHFFFAOYSA-N,2.228615150259787e-10,cardiac,ubiquitous neuromodulator used medically for shock-associated conditions,NA,NA,NA,NA
dopamine,2019,Prescription,Human,749,VYFYYTLLBUKUHU-UHFFFAOYSA-N,2.1636522199239727e-10,cardiac,ubiquitous neuromodulator used medically for shock-associated conditions,NA,NA,NA,NA
doramectin,2016,Prescription,Vet,1018.5,QLFZZSKTJWDQOS-YDBLARSUSA-N,2.9244708829073923e-10,antiparasitic,avermectin antiparasitic for nematodes and arthropod infection in cattle and swine,NA,NA,NA,NA
doramectin,2017,Prescription,Vet,663,QLFZZSKTJWDQOS-YDBLARSUSA-N,1.929838066774503e-10,antiparasitic,avermectin antiparasitic for nematodes and arthropod infection in cattle and swine,NA,NA,NA,NA
doramectin,2018,Prescription,Vet,818,QLFZZSKTJWDQOS-YDBLARSUSA-N,2.3252642766741144e-10,antiparasitic,avermectin antiparasitic for nematodes and arthropod infection in cattle and swine,NA,NA,NA,NA
doramectin,2019,Prescription,Vet,692,QLFZZSKTJWDQOS-YDBLARSUSA-N,1.998995108394378e-10,antiparasitic,avermectin antiparasitic for nematodes and arthropod infection in cattle and swine,NA,NA,NA,NA
doravirine,2019,Prescription,Human,84,ZIAOVIPSKUPPQW-UHFFFAOYSA-N,2.4265258541203427e-11,antiviral,NNRTI antiviral for used in combination for treatment of HIV,NA,NA,NA,NA
dorzolamide,2016,Prescription,Human,20753.1,IAVUPMFITXYVAF-XPUUQOCRSA-N,5.958943218464939e-9,ophthalmological,reduces pressure in eye,NA,NA,NA,NA
dorzolamide,2017,Prescription,Human,21312.92,IAVUPMFITXYVAF-XPUUQOCRSA-N,6.203692960802359e-9,ophthalmological,reduces pressure in eye,NA,NA,NA,NA
dorzolamide,2018,Prescription,Human,21852.98,IAVUPMFITXYVAF-XPUUQOCRSA-N,6.211974783969913e-9,ophthalmological,reduces pressure in eye,NA,NA,NA,NA
dorzolamide,2019,Prescription,Human,23854.88,IAVUPMFITXYVAF-XPUUQOCRSA-N,6.891009888921225e-9,ophthalmological,reduces pressure in eye,NA,NA,NA,NA
doxazosin,2016,Prescription,Human,20090.384,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,5.768654200729361e-9,antihypertensive,"antiadrenergic agent for blood pressure, enlarged prostate",NA,NA,NA,NA
doxazosin,2017,Prescription,Human,20391.00000000001,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,5.935343592699686e-9,antihypertensive,"antiadrenergic agent for blood pressure, enlarged prostate",NA,NA,NA,NA
doxazosin,2018,Prescription,Human,14713.708,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,4.182550072104416e-9,antihypertensive,"antiadrenergic agent for blood pressure, enlarged prostate",NA,NA,NA,NA
doxazosin,2019,Prescription,Human,8302.724,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,2.3984255292411272e-9,antihypertensive,"antiadrenergic agent for blood pressure, enlarged prostate",NA,NA,NA,NA
doxepin,2016,Prescription,Human,22507.01,ODQWQRRAPPTVAG-GZTJUZNOSA-N,6.462552322661317e-9,antidepressant,"tricyclic antidepressant for alcoholism, manic depression etc.",NA,NA,NA,NA
doxepin,2017,Prescription,Human,20741.165,ODQWQRRAPPTVAG-GZTJUZNOSA-N,6.0372684413651585e-9,antidepressant,"tricyclic antidepressant for alcoholism, manic depression etc.",NA,NA,NA,NA
doxepin,2018,Prescription,Human,18060.3,ODQWQRRAPPTVAG-GZTJUZNOSA-N,5.13385946406082e-9,antidepressant,"tricyclic antidepressant for alcoholism, manic depression etc.",NA,NA,NA,NA
doxepin,2019,Prescription,Human,16463.375,ODQWQRRAPPTVAG-GZTJUZNOSA-N,4.755810128997441e-9,antidepressant,"tricyclic antidepressant for alcoholism, manic depression etc.",NA,NA,NA,NA
doxorubicin,2016,Prescription,Human,599.3,AOJJSUZBOXZQNB-TZSSRYMLSA-N,1.7208005892257238e-10,antineoplastic,antibiotic and antineoplastic treatment for many cancers,low,NA,NA,NA
doxorubicin,2017,Prescription,Human,563.9200000000001,AOJJSUZBOXZQNB-TZSSRYMLSA-N,1.6414393402948387e-10,antineoplastic,antibiotic and antineoplastic treatment for many cancers,low,NA,NA,NA
doxorubicin,2018,Prescription,Human,574.9,AOJJSUZBOXZQNB-TZSSRYMLSA-N,1.6342230228116726e-10,antineoplastic,antibiotic and antineoplastic treatment for many cancers,low,NA,NA,NA
doxorubicin,2019,Prescription,Human,677.84,AOJJSUZBOXZQNB-TZSSRYMLSA-N,1.9580908154249206e-10,antineoplastic,antibiotic and antineoplastic treatment for many cancers,low,NA,NA,NA
doxycycline,2016,Prescription,Human,340453.015,SGKRLCUYIXIAHR-AKNGSSGZSA-N,9.775600681055805e-8,antibacterial,"tetracycline antibiotic for many bacterial infections, also malaria and anthrax",NA,NA,NA,NA
doxycycline,2016,Prescription,Vet,1170,SGKRLCUYIXIAHR-AKNGSSGZSA-N,3.3594805429569447e-10,antibacterial,"tetracycline antibiotic for many bacterial infections, also malaria and anthrax",NA,NA,NA,NA
doxycycline,2017,Prescription,Human,315952.585,SGKRLCUYIXIAHR-AKNGSSGZSA-N,9.196641415215793e-8,antibacterial,"tetracycline antibiotic for many bacterial infections, also malaria and anthrax",NA,NA,NA,NA
doxycycline,2017,Prescription,Vet,1239.6,SGKRLCUYIXIAHR-AKNGSSGZSA-N,3.6081859239421925e-10,antibacterial,"tetracycline antibiotic for many bacterial infections, also malaria and anthrax",NA,NA,NA,NA
doxycycline,2018,Prescription,Human,302663.49,SGKRLCUYIXIAHR-AKNGSSGZSA-N,8.603577031179868e-8,antibacterial,"tetracycline antibiotic for many bacterial infections, also malaria and anthrax",NA,NA,NA,NA
doxycycline,2018,Prescription,Vet,931.6,SGKRLCUYIXIAHR-AKNGSSGZSA-N,2.6481860637525737e-10,antibacterial,"tetracycline antibiotic for many bacterial infections, also malaria and anthrax",NA,NA,NA,NA
doxycycline,2019,Prescription,Human,317078.855,SGKRLCUYIXIAHR-AKNGSSGZSA-N,9.159524279194945e-8,antibacterial,"tetracycline antibiotic for many bacterial infections, also malaria and anthrax",NA,NA,NA,NA
doxycycline,2019,Prescription,Vet,1004.4,SGKRLCUYIXIAHR-AKNGSSGZSA-N,2.9014316284267525e-10,antibacterial,"tetracycline antibiotic for many bacterial infections, also malaria and anthrax",NA,NA,NA,NA
doxylamine,2016,Prescription,Human,1619.26275,HCFDWZZGGLSKEP-UHFFFAOYSA-N,4.6494715406495356e-10,antihistamine,"antihistamine for allergy and cold symptoms, insomnia",NA,NA,NA,NA
doxylamine,2017,Prescription,Human,7104.46275,HCFDWZZGGLSKEP-UHFFFAOYSA-N,2.0679430858116852e-9,antihistamine,"antihistamine for allergy and cold symptoms, insomnia",NA,NA,NA,NA
doxylamine,2018,Prescription,Human,9141.454,HCFDWZZGGLSKEP-UHFFFAOYSA-N,2.598569244872822e-9,antihistamine,"antihistamine for allergy and cold symptoms, insomnia",NA,NA,NA,NA
doxylamine,2019,Prescription,Human,11257.61175,HCFDWZZGGLSKEP-UHFFFAOYSA-N,3.252010234169519e-9,antihistamine,"antihistamine for allergy and cold symptoms, insomnia",NA,NA,NA,NA
dronedarone,2016,Prescription,Human,449262,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,1.2899888441794218e-7,cardiac,antiarrhythmic for patients recovered from atrial fibrillation,low,high,4e-7,0.32249721104485546
dronedarone,2017,Prescription,Human,519206,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,1.5112873352906828e-7,cardiac,antiarrhythmic for patients recovered from atrial fibrillation,low,high,4e-7,0.3778218338226707
dronedarone,2018,Prescription,Human,585632.8,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,1.664732309399311e-7,cardiac,antiarrhythmic for patients recovered from atrial fibrillation,low,high,4e-7,0.4161830773498278
dronedarone,2019,Prescription,Human,675602.7999999999,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,1.951628168233447e-7,cardiac,antiarrhythmic for patients recovered from atrial fibrillation,low,high,4e-7,0.4879070420583618
droperidol,2016,Prescription,Human,35.725,RMEDXOLNCUSCGS-UHFFFAOYSA-N,1.0257901059584348e-11,other nervous system,"sedative, tranquilizer and anti-nausea for surgery and other medical procedures",NA,NA,NA,NA
droperidol,2017,Prescription,Human,37.6,RMEDXOLNCUSCGS-UHFFFAOYSA-N,1.0944481344000199e-11,other nervous system,"sedative, tranquilizer and anti-nausea for surgery and other medical procedures",NA,NA,NA,NA
droperidol,2018,Prescription,Human,37.55,RMEDXOLNCUSCGS-UHFFFAOYSA-N,1.0674043226052932e-11,other nervous system,"sedative, tranquilizer and anti-nausea for surgery and other medical procedures",NA,NA,NA,NA
droperidol,2019,Prescription,Human,36.7,RMEDXOLNCUSCGS-UHFFFAOYSA-N,1.0601607005501975e-11,other nervous system,"sedative, tranquilizer and anti-nausea for surgery and other medical procedures",NA,NA,NA,NA
drospirenone,2016,Prescription,Human,37983.771,METQSPRSQINEEU-HXCATZOESA-N,1.0906473472019854e-8,sex hormone,progestin birth control,low,high,2.3e-8,0.47419449878347186
drospirenone,2017,Prescription,Human,35234.64,METQSPRSQINEEU-HXCATZOESA-N,1.025598032294051e-8,sex hormone,progestin birth control,low,high,2.3e-8,0.4459121879539352
drospirenone,2018,Prescription,Human,34171.074,METQSPRSQINEEU-HXCATZOESA-N,9.713542502174529e-9,sex hormone,progestin birth control,low,high,2.3e-8,0.4223279348771534
drospirenone,2019,Prescription,Human,33596.514,METQSPRSQINEEU-HXCATZOESA-N,9.705096408251912e-9,sex hormone,progestin birth control,low,high,2.3e-8,0.421960713402257
duloxetine,2016,Prescription,Human,71834.2884,ZEUITGRIYCTCEM-KRWDZBQOSA-N,2.0626144803158793e-8,antidepressant,"SSNRI for depression, anxiety, chronic pain",low,moderate,4.3e-7,0.04796777861199719
duloxetine,2017,Prescription,Human,78300.54119999999,ZEUITGRIYCTCEM-KRWDZBQOSA-N,2.27914577762904e-8,antidepressant,"SSNRI for depression, anxiety, chronic pain",low,moderate,4.3e-7,0.05300339017741953
duloxetine,2018,Prescription,Human,88763.8248,ZEUITGRIYCTCEM-KRWDZBQOSA-N,2.5232194482689467e-8,antidepressant,"SSNRI for depression, anxiety, chronic pain",low,moderate,4.3e-7,0.0586795220527662
duloxetine,2019,Prescription,Human,103103.28,ZEUITGRIYCTCEM-KRWDZBQOSA-N,2.9783663638643915e-8,antidepressant,"SSNRI for depression, anxiety, chronic pain",low,moderate,4.3e-7,0.06926433404335794
dutasteride,2016,Prescription,Human,3128.1749999999997,JWJOTENAMICLJG-QWBYCMEYSA-N,8.982088074755847e-10,urological,5-alpha-reductase inhibitor for enlarged prostates,low,high,4.2e-7,0.002138592398751392
dutasteride,2017,Prescription,Human,3410.16,JWJOTENAMICLJG-QWBYCMEYSA-N,9.926178856397798e-10,urological,5-alpha-reductase inhibitor for enlarged prostates,low,high,4.2e-7,0.0023633759181899516
dutasteride,2018,Prescription,Human,3810.36,JWJOTENAMICLJG-QWBYCMEYSA-N,1.083141074482638e-9,urological,5-alpha-reductase inhibitor for enlarged prostates,low,high,4.2e-7,0.002578907320196757
dutasteride,2019,Prescription,Human,4359,JWJOTENAMICLJG-QWBYCMEYSA-N,1.2591935950131636e-9,urological,5-alpha-reductase inhibitor for enlarged prostates,low,high,4.2e-7,0.00299807998812658
dydrogesterone,2019,Prescription,Human,82.11,JGMOKGBVKVMRFX-HQZYFCCVSA-N,2.3719290224026353e-11,sex hormone,progestin for various reproductive and gynaecological disordered,NA,NA,NA,NA
ebastine,2016,OTC,Human,1712.9,MJJALKDDGIKVBE-UHFFFAOYSA-N,4.918336941906795e-10,antihistamine,antihistamine for allergic skin diseases,NA,NA,NA,NA
ebastine,2016,Prescription,Human,32977.13,MJJALKDDGIKVBE-UHFFFAOYSA-N,9.468891162184769e-9,antihistamine,antihistamine for allergic skin diseases,NA,NA,NA,NA
ebastine,2017,OTC,Human,1411.9,MJJALKDDGIKVBE-UHFFFAOYSA-N,4.1097109599983724e-10,antihistamine,antihistamine for allergic skin diseases,NA,NA,NA,NA
ebastine,2017,Prescription,Human,36360.45,MJJALKDDGIKVBE-UHFFFAOYSA-N,1.0583677305437557e-8,antihistamine,antihistamine for allergic skin diseases,NA,NA,NA,NA
ebastine,2018,OTC,Human,92.4,MJJALKDDGIKVBE-UHFFFAOYSA-N,2.6265821413776058e-11,antihistamine,antihistamine for allergic skin diseases,NA,NA,NA,NA
ebastine,2018,Prescription,Human,38118.13000000001,MJJALKDDGIKVBE-UHFFFAOYSA-N,1.0835541073669913e-8,antihistamine,antihistamine for allergic skin diseases,NA,NA,NA,NA
ebastine,2019,Prescription,Human,42561.2,MJJALKDDGIKVBE-UHFFFAOYSA-N,1.2294744307426991e-8,antihistamine,antihistamine for allergic skin diseases,NA,NA,NA,NA
econazole,2016,OTC,Human,11350.8,LEZWWPYKPKIXLL-UHFFFAOYSA-N,3.259212969828692e-9,antifungal,imidazole antifungal for various skin infections,NA,NA,2e-7,0.01629606484914346
econazole,2016,Prescription,Human,3740.2794,LEZWWPYKPKIXLL-UHFFFAOYSA-N,1.0739654589335624e-9,antifungal,imidazole antifungal for various skin infections,NA,NA,2e-7,0.0053698272946678125
econazole,2017,OTC,Human,12144.9,LEZWWPYKPKIXLL-UHFFFAOYSA-N,3.535096581775213e-9,antifungal,imidazole antifungal for various skin infections,NA,NA,2e-7,0.017675482908876067
econazole,2017,Prescription,Human,3978.2457,LEZWWPYKPKIXLL-UHFFFAOYSA-N,1.157974357593059e-9,antifungal,imidazole antifungal for various skin infections,NA,NA,2e-7,0.005789871787965295
econazole,2018,OTC,Human,12261.3,LEZWWPYKPKIXLL-UHFFFAOYSA-N,3.4854233344235103e-9,antifungal,imidazole antifungal for various skin infections,NA,NA,2e-7,0.017427116672117552
econazole,2018,Prescription,Human,3951.8622,LEZWWPYKPKIXLL-UHFFFAOYSA-N,1.123364792175889e-9,antifungal,imidazole antifungal for various skin infections,NA,NA,2e-7,0.005616823960879445
econazole,2019,OTC,Human,17028.9,LEZWWPYKPKIXLL-UHFFFAOYSA-N,4.919174537765466e-9,antifungal,imidazole antifungal for various skin infections,NA,NA,2e-7,0.024595872688827333
econazole,2019,Prescription,Human,4475.9286,LEZWWPYKPKIXLL-UHFFFAOYSA-N,1.292971008225794e-9,antifungal,imidazole antifungal for various skin infections,NA,NA,2e-7,0.00646485504112897
edoxaban,2016,Prescription,Human,130.05,HGVDHZBSSITLCT-JLJPHGGASA-N,3.734191834286759e-11,antithrombotic,"Factor Xa inhibitor for clotting reduction for strokes, atrial fibrillation, DVT",low,moderate,2.32e-4,1.6095654458132582e-7
edoxaban,2017,Prescription,Human,5286.4800000000005,HGVDHZBSSITLCT-JLJPHGGASA-N,1.538770790835909e-9,antithrombotic,"Factor Xa inhibitor for clotting reduction for strokes, atrial fibrillation, DVT",low,moderate,2.32e-4,6.632632719120298e-6
edoxaban,2018,Prescription,Human,21279.33,HGVDHZBSSITLCT-JLJPHGGASA-N,6.048907809359386e-9,antithrombotic,"Factor Xa inhibitor for clotting reduction for strokes, atrial fibrillation, DVT",low,moderate,2.32e-4,2.6072878488618042e-5
edoxaban,2019,Prescription,Human,40912.29,HGVDHZBSSITLCT-JLJPHGGASA-N,1.1818420170984423e-8,antithrombotic,"Factor Xa inhibitor for clotting reduction for strokes, atrial fibrillation, DVT",low,moderate,2.32e-4,5.094146625424321e-5
efavirenz,2016,Prescription,Human,137592,XPOQHMRABVBWPR-ZDUSSCGKSA-N,3.950749118517368e-8,antiviral,NNRTI antiviral for treatment of HIV,low,high,2.6e-6,0.015195188917374492
efavirenz,2017,Prescription,Human,87066,XPOQHMRABVBWPR-ZDUSSCGKSA-N,2.5342877997253232e-8,antiviral,NNRTI antiviral for treatment of HIV,low,high,2.6e-6,0.00974726076817432
efavirenz,2018,Prescription,Human,62352,XPOQHMRABVBWPR-ZDUSSCGKSA-N,1.7724312735841613e-8,antiviral,NNRTI antiviral for treatment of HIV,low,high,2.6e-6,0.006817043359939081
efavirenz,2019,Prescription,Human,64836,XPOQHMRABVBWPR-ZDUSSCGKSA-N,1.8729313128303163e-8,antiviral,NNRTI antiviral for treatment of HIV,low,high,2.6e-6,0.0072035819724242936
eflornithine,2016,Prescription,Human,5385.45,VLCYCQAOQCDTCN-UHFFFAOYSA-N,1.5463516658177332e-9,dermatological,hair growth inhibitor and antiprotozoal,NA,NA,NA,NA
eflornithine,2017,Prescription,Human,6365.25,VLCYCQAOQCDTCN-UHFFFAOYSA-N,1.8527755285876934e-9,dermatological,hair growth inhibitor and antiprotozoal,NA,NA,NA,NA
eflornithine,2018,Prescription,Human,6444.6,VLCYCQAOQCDTCN-UHFFFAOYSA-N,1.8319557649699262e-9,dermatological,hair growth inhibitor and antiprotozoal,NA,NA,NA,NA
eflornithine,2019,Prescription,Human,7903.95,VLCYCQAOQCDTCN-UHFFFAOYSA-N,2.283230836270772e-9,dermatological,hair growth inhibitor and antiprotozoal,NA,NA,NA,NA
elbasvir,2017,Prescription,Human,4765.6,BVAZQCUMNICBAQ-PZHYSIFUSA-N,1.3871547950257275e-9,antiviral,antiviral often used in combination for hepatitis C,NA,NA,NA,NA
elbasvir,2018,Prescription,Human,3778.6,BVAZQCUMNICBAQ-PZHYSIFUSA-N,1.0741129090269935e-9,antiviral,antiviral often used in combination for hepatitis C,NA,NA,NA,NA
elbasvir,2019,Prescription,Human,861,BVAZQCUMNICBAQ-PZHYSIFUSA-N,2.4871890004733516e-10,antiviral,antiviral often used in combination for hepatitis C,NA,NA,NA,NA
eletriptan,2016,Prescription,Human,36486.6,PWVXXGRKLHYWKM-LJQANCHMSA-N,1.0476583143474606e-8,analgesic,antimigraine selective serotonin agonist,NA,NA,NA,NA
eletriptan,2017,Prescription,Human,36664.8,PWVXXGRKLHYWKM-LJQANCHMSA-N,1.0672266478231344e-8,analgesic,antimigraine selective serotonin agonist,NA,NA,NA,NA
eletriptan,2018,Prescription,Human,37340,PWVXXGRKLHYWKM-LJQANCHMSA-N,1.061434817738526e-8,analgesic,antimigraine selective serotonin agonist,NA,NA,NA,NA
eletriptan,2019,Prescription,Human,37276.2,PWVXXGRKLHYWKM-LJQANCHMSA-N,1.0768055124209611e-8,analgesic,antimigraine selective serotonin agonist,NA,NA,NA,NA
eliglustat,2016,Prescription,Human,70.56,FJZZPCZKBUKGGU-AUSIDOKSSA-N,2.0260251889832654e-11,metabolic,metabolic agent for treatment of type 1 Gaucher disease,NA,NA,NA,NA
eliglustat,2017,Prescription,Human,65.856,FJZZPCZKBUKGGU-AUSIDOKSSA-N,1.916914264336375e-11,metabolic,metabolic agent for treatment of type 1 Gaucher disease,NA,NA,NA,NA
eliglustat,2018,Prescription,Human,65.856,FJZZPCZKBUKGGU-AUSIDOKSSA-N,1.872036726218221e-11,metabolic,metabolic agent for treatment of type 1 Gaucher disease,NA,NA,NA,NA
eliglustat,2019,Prescription,Human,56.448,FJZZPCZKBUKGGU-AUSIDOKSSA-N,1.6306253739688706e-11,metabolic,metabolic agent for treatment of type 1 Gaucher disease,NA,NA,NA,NA
eltrombopag,2016,Prescription,Human,1215.55,SVOQIEJWJCQGDQ-UHFFFAOYSA-N,3.490270576060953e-10,antihemorrhagic,"platelet-stimulating agent to reduce bleeding for immune thrombocytopenic purpura, etc.",NA,NA,NA,NA
eltrombopag,2017,Prescription,Human,1726.9,SVOQIEJWJCQGDQ-UHFFFAOYSA-N,5.026602349189878e-10,antihemorrhagic,"platelet-stimulating agent to reduce bleeding for immune thrombocytopenic purpura, etc.",NA,NA,NA,NA
eltrombopag,2018,Prescription,Human,2057.3,SVOQIEJWJCQGDQ-UHFFFAOYSA-N,5.848124934476351e-10,antihemorrhagic,"platelet-stimulating agent to reduce bleeding for immune thrombocytopenic purpura, etc.",NA,NA,NA,NA
eltrombopag,2019,Prescription,Human,2347.8,SVOQIEJWJCQGDQ-UHFFFAOYSA-N,6.782139762266361e-10,antihemorrhagic,"platelet-stimulating agent to reduce bleeding for immune thrombocytopenic purpura, etc.",NA,NA,NA,NA
